"Anio";"Valor";"Carrera";"Genero";"Tasa"
"2015-2016";"..";"Ciencias de la vida";"Hombres";"Exito"
"2022-2023";"..";"Ciencias Físicas, químicas, geológicas";"Hombres";"Exito"
"2021-2022";"..";"Ciencias Físicas, químicas, geológicas";"Hombres";"Exito"
"2020-2021";"..";"Ciencias Físicas, químicas, geológicas";"Hombres";"Exito"
"2019-2020";"..";"Ciencias Físicas, químicas, geológicas";"Hombres";"Exito"
"2018-2019";"..";"Ciencias Físicas, químicas, geológicas";"Hombres";"Exito"
"2017-2018";"..";"Ciencias Físicas, químicas, geológicas";"Hombres";"Exito"
"2016-2017";"..";"Ciencias Físicas, químicas, geológicas";"Hombres";"Exito"
"2015-2016";"..";"Ciencias Físicas, químicas, geológicas";"Hombres";"Exito"
"2022-2023";"..";"Matemáticas y Estadística";"Hombres";"Exito"
"2021-2022";"..";"Matemáticas y Estadística";"Hombres";"Exito"
"2020-2021";"..";"Matemáticas y Estadística";"Hombres";"Exito"
"2019-2020";"..";"Matemáticas y Estadística";"Hombres";"Exito"
"2018-2019";"..";"Matemáticas y Estadística";"Hombres";"Exito"
"2017-2018";"..";"Matemáticas y Estadística";"Hombres";"Exito"
"2016-2017";"..";"Matemáticas y Estadística";"Hombres";"Exito"
"2015-2016";"..";"Matemáticas y Estadística";"Hombres";"Exito"
"2022-2023";"80.15";"Total Informática";"Hombres";"Exito"
"2021-2022";"..";"Total Informática";"Hombres";"Exito"
"2020-2021";"..";"Total Informática";"Hombres";"Exito"
"2019-2020";"..";"Total Informática";"Hombres";"Exito"
"2018-2019";"..";"Total Informática";"Hombres";"Exito"
"2017-2018";"..";"Total Informática";"Hombres";"Exito"
"2016-2017";"..";"Total Informática";"Hombres";"Exito"
"2015-2016";"..";"Total Informática";"Hombres";"Exito"
"2022-2023";"80.15";"Informática";"Hombres";"Exito"
"2021-2022";"..";"Informática";"Hombres";"Exito"
"2020-2021";"..";"Informática";"Hombres";"Exito"
"2019-2020";"..";"Informática";"Hombres";"Exito"
"2018-2019";"..";"Informática";"Hombres";"Exito"
"2017-2018";"..";"Informática";"Hombres";"Exito"
"2016-2017";"..";"Informática";"Hombres";"Exito"
"2015-2016";"..";"Informática";"Hombres";"Exito"
"2022-2023";"..";"Total Ingeniería, industria y construcción";"Hombres";"Exito"
"2021-2022";"..";"Total Ingeniería, industria y construcción";"Hombres";"Exito"
"2020-2021";"..";"Total Ingeniería, industria y construcción";"Hombres";"Exito"
"2019-2020";"..";"Total Ingeniería, industria y construcción";"Hombres";"Exito"
"2018-2019";"..";"Total Ingeniería, industria y construcción";"Hombres";"Exito"
"2017-2018";"..";"Total Ingeniería, industria y construcción";"Hombres";"Exito"
"2016-2017";"..";"Total Ingeniería, industria y construcción";"Hombres";"Exito"
"2015-2016";"..";"Total Ingeniería, industria y construcción";"Hombres";"Exito"
"2022-2023";"..";"Ingenierías";"Hombres";"Exito"
"2021-2022";"..";"Ingenierías";"Hombres";"Exito"
"2020-2021";"..";"Ingenierías";"Hombres";"Exito"
"2019-2020";"..";"Ingenierías";"Hombres";"Exito"
"2018-2019";"..";"Ingenierías";"Hombres";"Exito"
"2017-2018";"..";"Ingenierías";"Hombres";"Exito"
"2016-2017";"..";"Ingenierías";"Hombres";"Exito"
"2015-2016";"..";"Ingenierías";"Hombres";"Exito"
"2022-2023";"..";"Arquitectura y construcción";"Hombres";"Exito"
"2021-2022";"..";"Arquitectura y construcción";"Hombres";"Exito"
"2020-2021";"..";"Arquitectura y construcción";"Hombres";"Exito"
"2019-2020";"..";"Arquitectura y construcción";"Hombres";"Exito"
"2018-2019";"..";"Arquitectura y construcción";"Hombres";"Exito"
"2017-2018";"..";"Arquitectura y construcción";"Hombres";"Exito"
"2016-2017";"..";"Arquitectura y construcción";"Hombres";"Exito"
"2015-2016";"..";"Arquitectura y construcción";"Hombres";"Exito"
"2022-2023";"..";"Total Agricultura, ganadería,  silvicultura, pesca, y veterinaria";"Hombres";"Exito"
"2021-2022";"..";"Total Agricultura, ganadería,  silvicultura, pesca, y veterinaria";"Hombres";"Exito"
"2020-2021";"..";"Total Agricultura, ganadería,  silvicultura, pesca, y veterinaria";"Hombres";"Exito"
"2019-2020";"..";"Total Agricultura, ganadería,  silvicultura, pesca, y veterinaria";"Hombres";"Exito"
"2018-2019";"..";"Total Agricultura, ganadería,  silvicultura, pesca, y veterinaria";"Hombres";"Exito"
"2017-2018";"..";"Total Agricultura, ganadería,  silvicultura, pesca, y veterinaria";"Hombres";"Exito"
"2016-2017";"..";"Total Agricultura, ganadería,  silvicultura, pesca, y veterinaria";"Hombres";"Exito"
"2015-2016";"..";"Total Agricultura, ganadería,  silvicultura, pesca, y veterinaria";"Hombres";"Exito"
"2022-2023";"..";"Agricultura, ganadería y pesca";"Hombres";"Exito"
"2021-2022";"..";"Agricultura, ganadería y pesca";"Hombres";"Exito"
"2020-2021";"..";"Agricultura, ganadería y pesca";"Hombres";"Exito"
"2019-2020";"..";"Agricultura, ganadería y pesca";"Hombres";"Exito"
"2018-2019";"..";"Agricultura, ganadería y pesca";"Hombres";"Exito"
"2017-2018";"..";"Agricultura, ganadería y pesca";"Hombres";"Exito"
"2016-2017";"..";"Agricultura, ganadería y pesca";"Hombres";"Exito"
"2015-2016";"..";"Agricultura, ganadería y pesca";"Hombres";"Exito"
"2022-2023";"..";"Veterinaria";"Hombres";"Exito"
"2021-2022";"..";"Veterinaria";"Hombres";"Exito"
"2020-2021";"..";"Veterinaria";"Hombres";"Exito"
"2019-2020";"..";"Veterinaria";"Hombres";"Exito"
"2018-2019";"..";"Veterinaria";"Hombres";"Exito"
"2017-2018";"..";"Veterinaria";"Hombres";"Exito"
"2016-2017";"..";"Veterinaria";"Hombres";"Exito"
"2015-2016";"..";"Veterinaria";"Hombres";"Exito"
"2022-2023";"..";"Total Salud y servicios sociales";"Hombres";"Exito"
"2021-2022";"..";"Total Salud y servicios sociales";"Hombres";"Exito"
"2020-2021";"..";"Total Salud y servicios sociales";"Hombres";"Exito"
"2019-2020";"..";"Total Salud y servicios sociales";"Hombres";"Exito"
