Codigo;Tipologia;Curso;Anio;Matriculados;Asignatura;Tasa_Rendimiento;Tasa_Exito
139261014;FORMACIÓN BÁSICA;1;2012-13;154;FUNDAMENTOS FÍSICOS PARA LA INGENIERÍA;40.9;51.2
139261014;FORMACIÓN BÁSICA;1;2013-14;217;FUNDAMENTOS FÍSICOS PARA LA INGENIERÍA;53.9;63.6
139261014;FORMACIÓN BÁSICA;1;2014-15;224;FUNDAMENTOS FÍSICOS PARA LA INGENIERÍA;57.6;64.5
139261014;FORMACIÓN BÁSICA;1;2015-16;187;FUNDAMENTOS FÍSICOS PARA LA INGENIERÍA;39.0;44.5
139261014;FORMACIÓN BÁSICA;1;2022-23;170;FUNDAMENTOS FÍSICOS PARA LA INGENIERÍA;61.8;70.9
139261014;FORMACIÓN BÁSICA;1;2016-17;203;FUNDAMENTOS FÍSICOS PARA LA INGENIERÍA;32.5;37.3
139261014;FORMACIÓN BÁSICA;1;2020-21;168;FUNDAMENTOS FÍSICOS PARA LA INGENIERÍA;83.3;87.5
139261014;FORMACIÓN BÁSICA;1;2011-12;177;FUNDAMENTOS FÍSICOS PARA LA INGENIERÍA;30.5;41.2
139261014;FORMACIÓN BÁSICA;1;2010-11;198;FUNDAMENTOS FÍSICOS PARA LA INGENIERÍA;30.3;40.8
139261015;FORMACIÓN BÁSICA;1;2011-12;200;ORGANIZACIONES EMPRESARIALES;57.5;64.6
139261015;FORMACIÓN BÁSICA;1;2025(*);143;ORGANIZACIONES EMPRESARIALES;95.1;99.3
139261015;FORMACIÓN BÁSICA;1;2019-20;153;ORGANIZACIONES EMPRESARIALES;92.2;97.2
139261015;FORMACIÓN BÁSICA;1;2021-22;160;ORGANIZACIONES EMPRESARIALES;86.9;91.4
139261015;FORMACIÓN BÁSICA;1;2023-24;151;ORGANIZACIONES EMPRESARIALES;92.7;98.6
139261015;FORMACIÓN BÁSICA;1;2017-18;173;ORGANIZACIONES EMPRESARIALES;75.1;76.9
139261015;FORMACIÓN BÁSICA;1;2018-19;167;ORGANIZACIONES EMPRESARIALES;78.4;85.1
139261015;FORMACIÓN BÁSICA;1;2012-13;133;ORGANIZACIONES EMPRESARIALES;73.7;79.7
139261015;FORMACIÓN BÁSICA;1;2013-14;165;ORGANIZACIONES EMPRESARIALES;63.6;71.4
139261015;FORMACIÓN BÁSICA;1;2014-15;175;ORGANIZACIONES EMPRESARIALES;85.7;90.4
139261015;FORMACIÓN BÁSICA;1;2015-16;146;ORGANIZACIONES EMPRESARIALES;69.9;77.3
139261015;FORMACIÓN BÁSICA;1;2022-23;146;ORGANIZACIONES EMPRESARIALES;95.2;96.5
139261015;FORMACIÓN BÁSICA;1;2016-17;157;ORGANIZACIONES EMPRESARIALES;70.1;76.9
